timestamp,strategy_id,leg,decision,mode,spot,vix,pcr_oi,max_pain,max_pain_dist_pct,iv_skew_ratio,move_from_open_pct,morning_range_pct,dte,hour,minute,day_of_week,is_expiry,rule_score,ai_adj,final_score,threshold,regime,entry_premium,quantity,exit_reason,outcome_pnl,held_minutes
2025-10-29T11:35:00+05:30,portfolio_hist,TREND,ENTER,debit_spread,26035.7,11.97,1.0,0.0,0.0,1.035,0.171,0.141,6,11,35,2,0,63,0,63,60,low_vol_range,42.48,75,,,
2025-10-29T15:15:00+05:30,portfolio_hist,TREND,EXIT,debit_spread,26053.5,11.93,1.0,0.0,0.0,1.035,0.24,0.113,6,15,15,2,0,0,0,0,0,low_vol_range,0.0,0,Time exit,71.25,220
2025-10-29T09:30:00+05:30,portfolio_hist,PREMIUM,ENTER,strangle,26016.55,12.01,1.0,0.0,0.0,1.035,0.098,0.275,6,9,30,2,0,100,0,100,75,conflicted,62.01,75,,,
2025-10-29T11:19:00+05:30,portfolio_hist,PREMIUM,EXIT,strangle,26014.95,11.98,1.0,0.0,0.0,1.035,0.092,0.11,6,11,19,2,0,0,0,0,0,low_vol_range,0.0,0,Profit target: premium decayed 12.2%,565.5,109
2025-10-29T11:35:00+05:30,portfolio_hist,TREND,ENTER,debit_spread,26035.7,11.97,1.0,0.0,0.0,1.035,0.171,0.141,6,11,35,2,0,63,0,63,60,low_vol_range,42.48,75,,,
2025-10-29T15:15:00+05:30,portfolio_hist,TREND,EXIT,debit_spread,26053.5,11.93,1.0,0.0,0.0,1.035,0.24,0.113,6,15,15,2,0,0,0,0,0,low_vol_range,0.0,0,Time exit,71.25,220
2025-10-29T09:30:00+05:30,portfolio_hist,PREMIUM,ENTER,strangle,26016.55,12.01,1.0,0.0,0.0,1.035,0.098,0.275,6,9,30,2,0,100,0,100,75,conflicted,62.01,75,,,
2025-10-29T11:19:00+05:30,portfolio_hist,PREMIUM,EXIT,strangle,26014.95,11.98,1.0,0.0,0.0,1.035,0.092,0.11,6,11,19,2,0,0,0,0,0,low_vol_range,0.0,0,Profit target: premium decayed 12.2%,565.5,109
2025-10-29T11:35:00+05:30,portfolio_hist,TREND,ENTER,debit_spread,26035.7,11.97,1.0,0.0,0.0,1.035,0.171,0.141,6,11,35,2,0,63,0,63,60,low_vol_range,42.48,75,,,
2025-10-29T15:15:00+05:30,portfolio_hist,TREND,EXIT,debit_spread,26053.5,11.93,1.0,0.0,0.0,1.035,0.24,0.113,6,15,15,2,0,0,0,0,0,low_vol_range,0.0,0,Time exit,71.25,220
2025-10-29T09:30:00+05:30,portfolio_hist,PREMIUM,ENTER,strangle,26016.55,12.01,1.0,0.0,0.0,1.035,0.098,0.275,6,9,30,2,0,100,0,100,75,conflicted,62.01,75,,,
2025-10-29T11:19:00+05:30,portfolio_hist,PREMIUM,EXIT,strangle,26014.95,11.98,1.0,0.0,0.0,1.035,0.092,0.11,6,11,19,2,0,0,0,0,0,low_vol_range,0.0,0,Profit target: premium decayed 12.2%,565.5,109
2025-10-29T11:35:00+05:30,portfolio_hist,TREND,ENTER,debit_spread,26035.7,11.97,1.0,0.0,0.0,1.035,0.171,0.141,6,11,35,2,0,63,0,63,60,low_vol_range,42.48,75,,,
2025-10-29T15:15:00+05:30,portfolio_hist,TREND,EXIT,debit_spread,26053.5,11.93,1.0,0.0,0.0,1.035,0.24,0.113,6,15,15,2,0,0,0,0,0,low_vol_range,0.0,0,Time exit,71.25,220
2025-10-29T09:30:00+05:30,portfolio_hist,PREMIUM,ENTER,strangle,26016.55,12.01,1.0,0.0,0.0,1.035,0.098,0.275,6,9,30,2,0,100,0,100,75,conflicted,62.01,75,,,
2025-10-29T11:19:00+05:30,portfolio_hist,PREMIUM,EXIT,strangle,26014.95,11.98,1.0,0.0,0.0,1.035,0.092,0.11,6,11,19,2,0,0,0,0,0,low_vol_range,0.0,0,Profit target: premium decayed 12.2%,565.5,109
2025-10-29T11:35:00+05:30,portfolio_hist,TREND,ENTER,debit_spread,26035.7,11.97,1.0,0.0,0.0,1.035,0.171,0.141,6,11,35,2,0,63,0,63,60,low_vol_range,42.48,75,,,
2025-10-29T15:15:00+05:30,portfolio_hist,TREND,EXIT,debit_spread,26053.5,11.93,1.0,0.0,0.0,1.035,0.24,0.113,6,15,15,2,0,0,0,0,0,low_vol_range,0.0,0,Time exit,71.25,220
2025-10-29T09:30:00+05:30,portfolio_hist,PREMIUM,ENTER,strangle,26016.55,12.01,1.0,0.0,0.0,1.035,0.098,0.275,6,9,30,2,0,100,0,100,75,conflicted,62.01,75,,,
2025-10-29T11:19:00+05:30,portfolio_hist,PREMIUM,EXIT,strangle,26014.95,11.98,1.0,0.0,0.0,1.035,0.092,0.11,6,11,19,2,0,0,0,0,0,conflicted,0.0,0,Profit target: premium decayed 12.2%,565.5,109
2025-10-29T11:35:00+05:30,portfolio_hist,TREND,ENTER,debit_spread,26035.7,11.97,1.0,0.0,0.0,1.035,0.171,0.141,6,11,35,2,0,63,0,63,60,low_vol_range,42.48,75,,,
2025-10-29T15:15:00+05:30,portfolio_hist,TREND,EXIT,debit_spread,26053.5,11.93,1.0,0.0,0.0,1.035,0.24,0.113,6,15,15,2,0,0,0,0,0,low_vol_range,0.0,0,Time exit,71.25,220
2025-10-29T09:30:00+05:30,portfolio_hist,PREMIUM,ENTER,strangle,26016.55,12.01,1.0,0.0,0.0,1.035,0.098,0.275,6,9,30,2,0,100,0,100,75,conflicted,62.01,75,,,
2025-10-29T11:19:00+05:30,portfolio_hist,PREMIUM,EXIT,strangle,26014.95,11.98,1.0,0.0,0.0,1.035,0.092,0.11,6,11,19,2,0,0,0,0,0,conflicted,0.0,0,Profit target: premium decayed 12.2%,565.5,109
2025-10-29T11:35:00+05:30,portfolio_hist,TREND,ENTER,debit_spread,26035.7,11.97,1.0,0.0,0.0,1.035,0.171,0.141,6,11,35,2,0,63,0,63,60,low_vol_range,42.48,75,,,
2025-10-29T15:15:00+05:30,portfolio_hist,TREND,EXIT,debit_spread,26053.5,11.93,1.0,0.0,0.0,1.035,0.24,0.113,6,15,15,2,0,0,0,0,0,low_vol_range,0.0,0,Time exit,71.25,220
2025-10-29T09:30:00+05:30,portfolio_hist,PREMIUM,ENTER,strangle,26016.55,12.01,1.0,0.0,0.0,1.035,0.098,0.275,6,9,30,2,0,100,0,100,75,conflicted,62.01,75,,,
2025-10-29T11:19:00+05:30,portfolio_hist,PREMIUM,EXIT,strangle,26014.95,11.98,1.0,0.0,0.0,1.035,0.092,0.11,6,11,19,2,0,0,0,0,0,conflicted,0.0,0,Profit target: premium decayed 12.2%,565.5,109
2025-10-29T11:35:00+05:30,portfolio_hist,TREND,ENTER,debit_spread,26035.7,11.97,1.0,0.0,0.0,1.035,0.171,0.141,6,11,35,2,0,63,0,63,60,low_vol_range,42.48,75,,,
2025-10-29T15:15:00+05:30,portfolio_hist,TREND,EXIT,debit_spread,26053.5,11.93,1.0,0.0,0.0,1.035,0.24,0.113,6,15,15,2,0,0,0,0,0,low_vol_range,0.0,0,Time exit,71.25,220
